DATE,T10Y3M,CPI,SP500,Median_House_Price,UNRATE,USREC,WTISPLC
1984-12-01,3.44,105.5,162.8200073,78300,7.3,0,25.429
1985-01-01,3.62,105.7,165.3699951,82500,7.3,0,25.641
1985-02-01,3.24,106.3,178.6300049,82000,7.2,0,27.271
1985-03-01,3.34,106.8,183.2299957,84200,7.2,0,28.238
1985-04-01,3.48,107.0,181.2700043,85600,7.3,0,28.805
1985-05-01,3.37,107.2,178.3699951,80100,7.2,0,27.623
1985-06-01,3.21,107.5,189.3200073,86300,7.4,0,27.143
1985-07-01,3.23,107.7,192.4299927,82100,7.4,0,27.329
1985-08-01,3.19,107.9,192.1100006,83300,7.1,0,27.755
1985-09-01,3.27,108.1,187.9100037,84700,7.1,0,28.289
1985-10-01,3.08,108.5,185.0700073,85400,7.1,0,29.538
1985-11-01,2.54,109.0,191.5299988,87200,7.0,0,30.813
1985-12-01,2.16,109.5,200.4600067,87900,7.0,0,27.228
1986-01-01,2.12,109.9,209.5899963,86600,6.7,0,22.945
1986-02-01,1.64,109.7,213.9600067,89700,7.2,0,15.442
1986-03-01,1.22,109.1,225.4199982,88700,7.2,0,12.618
1986-04-01,1.24,108.7,235.1399994,92500,7.1,0,12.847
1986-05-01,1.56,109.0,235.1600037,92100,7.2,0,15.444
1986-06-01,1.59,109.4,245.0399933,91200,7.2,0,13.469
1986-07-01,1.47,109.5,252.0399933,94100,7.0,0,11.575
1986-08-01,1.64,109.6,234.9100037,91500,6.9,0,15.092
1986-09-01,2.24,110.0,248.5200043,95000,7.0,0,14.913
1986-10-01,2.25,110.2,233.6000061,96400,7.0,0,14.852
1986-11-01,1.9,110.4,245.8000031,94000,6.9,0,15.207
1986-12-01,1.58,110.8,249.0500031,95000,6.6,0,16.076
1987-01-01,1.65,111.4,246.4499969,98500,6.6,0,18.656
1987-02-01,1.66,111.8,276.4500122,95200,6.6,0,17.726
1987-03-01,1.66,112.2,283.0,98400,6.6,0,18.305
1987-04-01,2.38,112.7,292.3800049,96500,6.3,0,18.643
1987-05-01,2.95,113.0,288.0299988,104900,6.3,0,19.415
1987-06-01,2.73,113.5,289.8299866,109000,6.2,0,20.034
1987-07-01,2.76,113.8,302.9400024,105000,6.1,0,21.355
1987-08-01,2.72,114.3,317.5700073,106800,6.0,0,20.274
1987-09-01,3.02,114.7,323.3999939,106500,5.9,0,19.526
1987-10-01,3.39,115.0,327.3299866,106500,6.0,0,19.848
1987-11-01,3.17,115.4,255.75,117000,5.8,0,18.92
1987-12-01,3.22,115.6,232.0,111800,5.7,0,17.241
1988-01-01,2.86,116.0,255.9400024,119000,5.7,0,17.16
1988-02-01,2.55,116.2,255.0399933,110900,5.7,0,16.765
1988-03-01,2.67,116.5,267.2200012,108900,5.7,0,16.217
1988-04-01,2.81,117.2,256.0899963,111000,5.4,0,17.875
1988-05-01,2.83,117.5,261.5599976,110000,5.6,0,17.438
1988-06-01,2.46,118.0,266.6900024,111500,5.4,0,16.53
1988-07-01,2.33,118.5,271.7799988,118000,5.4,0,15.498
1988-08-01,2.2,119.0,272.2099915,110000,5.6,0,15.524
1988-09-01,1.74,119.5,258.3500061,116600,5.4,0,14.467
1988-10-01,1.45,119.9,271.3800049,112900,5.4,0,13.798
1988-11-01,1.2,120.3,279.0599976,110400,5.3,0,13.977
1988-12-01,1.04,120.7,272.4899902,121000,5.3,0,16.266
1989-01-01,0.82,121.2,275.3099976,113000,5.4,0,17.983
1989-02-01,0.64,121.6,297.0899963,118000,5.2,0,17.826
1989-03-01,0.54,122.2,287.1099854,123000,5.0,0,19.445
1989-04-01,0.53,123.1,296.3900146,116700,5.2,0,21.04
1989-05-01,0.43,123.7,309.1199951,119000,5.2,0,20.032
1989-06-01,0.13,124.1,321.9700012,122800,5.3,0,20.005
1989-07-01,0.14,124.5,319.230011,116000,5.2,0,19.644
1989-08-01,0.21,124.5,343.75,122900,5.2,0,18.522
1989-09-01,0.44,124.8,353.730011,120000,5.3,0,19.594
1989-10-01,0.37,125.4,350.8699951,123000,5.3,0,20.091
1989-11-01,0.18,125.9,341.2000122,125000,5.4,0,19.82
1989-12-01,0.21,126.3,350.6300049,125200,5.4,0,21.088
1990-01-01,0.57,127.5,359.6900024,125000,5.4,0,22.641
1990-02-01,0.73,128.0,328.7900085,126900,5.3,0,22.108
1990-03-01,0.69,128.6,332.7399902,119400,5.2,0,20.418
1990-04-01,1.02,128.9,338.7000122,130000,5.4,0,18.582
1990-05-01,1.02,129.1,332.25,125000,5.4,0,18.237
1990-06-01,0.75,129.9,363.1600037,125000,5.2,0,16.871
1990-07-01,0.85,130.5,359.5400085,118700,5.5,0,18.638
1990-08-01,1.3,131.6,355.519989,118400,5.7,1,27.174
1990-09-01,1.53,132.5,323.0899963,113000,5.9,1,33.687
1990-10-01,1.55,133.4,314.9400024,120000,5.9,1,35.922
1990-11-01,1.33,133.7,307.019989,118900,6.2,1,32.3
1990-12-01,1.34,134.2,324.1000061,127000,6.3,1,27.337
1991-01-01,1.87,134.7,326.4500122,117900,6.4,1,24.959
1991-02-01,1.91,134.8,343.0499878,119900,6.6,1,20.523
1991-03-01,2.2,134.8,370.4700012,122500,6.8,1,19.86
1991-04-01,2.39,135.1,371.2999878,121000,6.7,0,20.823
1991-05-01,2.61,135.6,380.2900085,116000,6.9,0,21.24
1991-06-01,2.71,136.0,388.0599976,119000,6.9,0,20.195
1991-07-01,2.69,136.2,377.9200134,120000,6.8,0,21.42
1991-08-01,2.57,136.6,387.1199951,120800,6.9,0,21.688
1991-09-01,2.43,137.0,392.1499939,120000,6.9,0,21.857
1991-10-01,2.54,137.2,389.2000122,122600,7.0,0,23.228
1991-11-01,2.86,137.8,391.3200073,118500,7.0,0,22.465
1991-12-01,3.02,138.2,381.3999939,122000,7.3,0,19.517
1992-01-01,3.23,138.3,417.2600098,120000,7.3,0,18.82
1992-02-01,3.5,138.6,409.5299988,117200,7.4,0,18.995
1992-03-01,3.5,139.1,412.4500122,120000,7.4,0,18.916
1992-04-01,3.73,139.4,404.230011,120000,7.4,0,20.243
1992-05-01,3.76,139.7,412.5299988,113000,7.6,0,20.94
1992-06-01,3.6,140.1,417.2999878,124500,7.8,0,22.375
1992-07-01,3.63,140.5,412.8800049,118000,7.7,0,21.759
1992-08-01,3.46,140.8,425.0899963,123500,7.6,0,21.35
1992-09-01,3.51,141.1,416.0700073,119500,7.6,0,21.902
1992-10-01,3.73,141.7,416.2900085,125000,7.3,0,21.688
1992-11-01,3.74,142.1,422.75,128900,7.4,0,20.342
1992-12-01,3.55,142.3,430.7799988,126000,7.4,0,19.407
1993-01-01,3.6,142.8,435.3800049,118000,7.3,0,19.075
1993-02-01,3.33,143.1,442.519989,129400,7.1,0,20.053
1993-03-01,3.03,143.3,442.0100098,125000,7.0,0,20.347
1993-04-01,3.1,143.8,450.2999878,127000,7.1,0,20.27
1993-05-01,3.08,144.2,442.4599915,129900,7.1,0,19.94
1993-06-01,2.89,144.3,453.8299866,124500,7.0,0,19.07
1993-07-01,2.77,144.5,449.019989,123900,6.9,0,17.866
1993-08-01,2.66,144.8,450.1499939,126600,6.8,0,18.009
1993-09-01,2.41,145.0,463.1499939,129400,6.7,0,17.514
1993-10-01,2.31,145.6,461.2799988,125000,6.8,0,18.145
1993-11-01,2.62,146.0,469.1000061,130000,6.6,0,16.699
1993-12-01,2.71,146.3,461.8900146,125000,6.5,0,14.51
1994-01-01,2.77,146.3,465.4400024,126000,6.6,0,15.0
1994-02-01,2.72,146.7,479.6199951,129900,6.6,0,14.78
1994-03-01,2.98,147.1,464.4400024,132300,6.5,0,14.66
1994-04-01,3.29,147.2,438.9200134,129000,6.4,0,16.38
1994-05-01,3.04,147.5,453.019989,129900,6.1,0,17.88
1994-06-01,2.96,147.9,457.6300049,133500,6.1,0,19.07
1994-07-01,2.97,148.4,446.2000122,124400,6.1,0,19.65
1994-08-01,2.76,149.0,461.0100098,133300,6.0,0,18.38
1994-09-01,2.84,149.3,473.1700134,129700,5.9,0,17.46
1994-10-01,2.79,149.4,461.7399902,132000,5.8,0,17.71
